Region,Total_Sum
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,218363.658184
13,471559.61681200005
14,740239.586108
15,0.0
16,0.0
17,0.0
18,0.0
