case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251030_113325_uni_var,0,2020,187.298666,31.38608,156.9304,312.842986
case_20251030_113325_uni_var,0,2022,78.916592,31.38608,312.842986,360.373498
case_20251030_113325_uni_var,0,2024,62.421205,31.38608,360.373498,391.408623
case_20251030_113325_uni_var,0,2026,51.032874,31.38608,391.408623,411.055417
case_20251030_113325_uni_var,0,2028,46.186498,31.38608,411.055417,425.855835
case_20251030_113325_uni_var,0,2030,122.3613,187.298666,425.855835,360.918469
case_20251030_113325_uni_var,0,2032,16.848458,78.916592,360.918469,298.85033500000003
case_20251030_113325_uni_var,0,2034,6.108926,62.421205,298.85033500000003,242.538056
case_20251030_113325_uni_var,0,2036,0.0,51.032874,242.538056,191.505182
case_20251030_113325_uni_var,0,2038,0.0,46.186498,191.505182,145.318684
case_20251030_113325_uni_var,0,2040,82.817347,122.3613,145.318684,105.774731
case_20251030_113325_uni_var,0,2042,0.0,16.848458,105.774731,88.926273
case_20251030_113325_uni_var,0,2044,0.0,6.108926,88.926273,82.817347
case_20251030_113325_uni_var,0,2046,0.0,0.0,82.817347,82.817347
case_20251030_113325_uni_var,0,2048,0.0,0.0,82.817347,82.817347
case_20251030_113325_uni_var,0,2050,51.010151,82.817347,82.817347,51.010151
case_20251030_113325_uni_var,0,2052,0.0,0.0,51.010151,51.010151
case_20251030_113325_uni_var,0,2054,0.0,0.0,51.010151,51.010151
case_20251030_113325_uni_var,0,2056,0.0,0.0,51.010151,51.010151
case_20251030_113325_uni_var,0,2058,0.0,0.0,51.010151,51.010151
case_20251030_113325_uni_var,0,2060,0.0,0.0,51.010151,51.010151
case_20251030_113325_uni_var,1,2020,233.814642,0.0,0.0,233.814642
case_20251030_113325_uni_var,1,2022,43.579095,0.0,233.814642,277.393737
case_20251030_113325_uni_var,1,2024,49.799794,0.0,277.393737,327.193531
case_20251030_113325_uni_var,1,2026,56.07592,0.0,327.193531,383.269451
case_20251030_113325_uni_var,1,2028,62.757616999999996,0.0,383.269451,446.027068
case_20251030_113325_uni_var,1,2030,299.76057000000003,233.814642,446.027068,511.972996
case_20251030_113325_uni_var,1,2032,113.199955,43.579095,511.972996,581.593856
case_20251030_113325_uni_var,1,2034,53.063127,49.799794,581.593856,584.857189
case_20251030_113325_uni_var,1,2036,57.832991,56.07592,584.857189,586.6142600000001
case_20251030_113325_uni_var,1,2038,63.049455,62.757616999999996,586.6142600000001,586.906098
case_20251030_113325_uni_var,1,2040,252.640144,299.76057000000003,586.906098,539.785672
case_20251030_113325_uni_var,1,2042,103.768893,113.199955,539.785672,530.35461
case_20251030_113325_uni_var,1,2044,55.117809,53.063127,530.35461,532.409292
case_20251030_113325_uni_var,1,2046,58.962534,57.832991,532.409292,533.5388350000001
case_20251030_113325_uni_var,1,2048,63.24066199999999,63.049455,533.5388350000001,533.730042
case_20251030_113325_uni_var,1,2050,221.226524,252.640144,533.730042,502.316422
case_20251030_113325_uni_var,1,2052,97.38011,103.768893,502.316422,495.927639
case_20251030_113325_uni_var,1,2054,56.530409,55.117809,495.927639,497.340239
case_20251030_113325_uni_var,1,2056,59.749793,58.962534,497.340239,498.127498
case_20251030_113325_uni_var,1,2058,63.375628999999996,63.24066199999999,498.127498,498.262465
case_20251030_113325_uni_var,1,2060,0.0,0.0,498.262465,498.262465
