case,tech_id,year,bought_vehicles,exiting_vehicles,h_now,h_all
case_20251030_113500_uni_uni,0,2020,187.29999899999999,31.38608,156.9304,312.844319
case_20251030_113500_uni_uni,0,2022,78.916772,31.38608,312.844319,360.375011
case_20251030_113500_uni_uni,0,2024,62.416022999999996,31.38608,360.375011,391.404954
case_20251030_113500_uni_uni,0,2026,51.032578,31.38608,391.404954,411.051452
case_20251030_113500_uni_uni,0,2028,46.186229,31.38608,411.051452,425.851601
case_20251030_113500_uni_uni,0,2030,122.36303099999999,187.29999899999999,425.851601,360.914633
case_20251030_113500_uni_uni,0,2032,16.849004,78.916772,360.914633,298.846865
case_20251030_113500_uni_uni,0,2034,6.104076,62.416022999999996,298.846865,242.534918
case_20251030_113500_uni_uni,0,2036,0.0,51.032578,242.534918,191.50234
case_20251030_113500_uni_uni,0,2038,0.0,46.186229,191.50234,145.316111
case_20251030_113500_uni_uni,0,2040,82.819324,122.36303099999999,145.316111,105.772404
case_20251030_113500_uni_uni,0,2042,0.0,16.849004,105.772404,88.9234
case_20251030_113500_uni_uni,0,2044,0.0,6.104076,88.9234,82.819324
case_20251030_113500_uni_uni,0,2046,0.0,0.0,82.819324,82.819324
case_20251030_113500_uni_uni,0,2048,0.0,0.0,82.819324,82.819324
case_20251030_113500_uni_uni,0,2050,51.01194,82.819324,82.819324,51.01194
case_20251030_113500_uni_uni,0,2052,0.0,0.0,51.01194,51.01194
case_20251030_113500_uni_uni,0,2054,0.0,0.0,51.01194,51.01194
case_20251030_113500_uni_uni,0,2056,0.0,0.0,51.01194,51.01194
case_20251030_113500_uni_uni,0,2058,0.0,0.0,51.01194,51.01194
case_20251030_113500_uni_uni,0,2060,0.0,0.0,51.01194,51.01194
case_20251030_113500_uni_uni,1,2020,233.815234,0.0,0.0,233.815234
case_20251030_113500_uni_uni,1,2022,43.579235000000004,0.0,233.815234,277.394469
case_20251030_113500_uni_uni,1,2024,49.79968,0.0,277.394469,327.194149
case_20251030_113500_uni_uni,1,2026,56.075778,0.0,327.194149,383.269927
case_20251030_113500_uni_uni,1,2028,62.757445000000004,0.0,383.269927,446.027372
case_20251030_113500_uni_uni,1,2030,299.76099,233.815234,446.027372,511.97312800000003
case_20251030_113500_uni_uni,1,2032,113.19992599999999,43.579235000000004,511.97312800000003,581.593819
case_20251030_113500_uni_uni,1,2034,53.063037,49.79968,581.593819,584.857176
case_20251030_113500_uni_uni,1,2036,57.832879,56.075778,584.857176,586.614277
case_20251030_113500_uni_uni,1,2038,63.049317,62.757445000000004,586.614277,586.906149
case_20251030_113500_uni_uni,1,2040,252.640481,299.76099,586.906149,539.7856400000001
case_20251030_113500_uni_uni,1,2042,103.768872,113.19992599999999,539.7856400000001,530.354586
case_20251030_113500_uni_uni,1,2044,55.117737,53.063037,530.354586,532.4092860000001
case_20251030_113500_uni_uni,1,2046,58.962441,57.832879,532.4092860000001,533.538848
case_20251030_113500_uni_uni,1,2048,63.240548999999994,63.049317,533.538848,533.73008
case_20251030_113500_uni_uni,1,2050,221.226805,252.640481,533.73008,502.31640400000003
case_20251030_113500_uni_uni,1,2052,97.380091,103.768872,502.31640400000003,495.927623
case_20251030_113500_uni_uni,1,2054,56.530347,55.117737,495.927623,497.340233
case_20251030_113500_uni_uni,1,2056,59.749715,58.962441,497.340233,498.127507
case_20251030_113500_uni_uni,1,2058,63.375532,63.240548999999994,498.127507,498.26249
case_20251030_113500_uni_uni,1,2060,0.0,0.0,498.26249,498.26249
