charging_speed,strategy,lower_bound,upper_bound,reduction,resulting_min
slow,distributed expansion,0,40000,0.3612486930060864,21.843438879724026
slow,distributed expansion,40000,80000,0.7631367029321936,8.100036580277154
slow,distributed expansion,80000,100000,0.8141243227386811,6.35640812164102
slow,distributed expansion,100000,150000,0.8405880732956624,5.45142474001767
slow,concentrated expansion,40000,80000,0.059041448155901476,32.17804862473032
slow,concentrated expansion,80000,100000,0.165509674804412,28.537144604706917
slow,concentrated expansion,100000,150000,0.2856237526886365,24.429592118894988
slow,concentrated expansion,150000,200000,0.38626593297562284,20.987921957518864
slow,balanced expansion,0,40000,0.18905774993911145,27.7318688513614
slow,balanced expansion,40000,80000,0.4694914356029078,18.14185156992319
slow,balanced expansion,80000,100000,0.5841016823973704,14.222514116624197
slow,balanced expansion,100000,150000,0.643363587339846,12.195929146334162
slow,balanced expansion,150000,200000,0.6934299315068619,10.483805637906082
fast,distributed expansion,0,40000,0.38543560762610407,38.37036905652377
fast,distributed expansion,40000,80000,0.8044263488960057,12.210654023747217
fast,distributed expansion,80000,100000,0.8465338575389546,9.58166889748604
fast,distributed expansion,100000,150000,0.8683823184380566,8.217558775880523
fast,distributed expansion,150000,200000,0.8868330296822717,7.0655873818639865
fast,concentrated expansion,40000,80000,0.1377155813452641,53.83678551187995
fast,concentrated expansion,80000,100000,0.3136785464248711,42.850525985348504
fast,concentrated expansion,100000,150000,0.411387833973148,36.75004006393762
fast,concentrated expansion,150000,200000,0.493901923123717,31.598267373625276
fast,balanced expansion,0,40000,0.24382623085101005,47.21175999317752
fast,balanced expansion,40000,80000,0.562684021523642,27.303852446830113
fast,balanced expansion,80000,100000,0.6568392732124355,21.425262992674252
fast,balanced expansion,100000,150000,0.705693916986574,18.37502003196881
fast,balanced expansion,150000,200000,0.7469509615618585,15.799133686812638
