hour,NT_avg_price_EUR_per_MWh
0,68.00543576963133
1,67.98798454877905
2,67.98798454877905
3,67.98558973884558
4,67.98798454877905
5,68.01157316853383
6,68.34154870099432
7,70.13594492062239
8,73.95293523147592
9,68.02012078404657
10,68.00877956166498
11,67.99166311619993
12,67.9854959869259
13,67.99549598692595
14,68.02993488727498
15,81.06982624516313
16,81.06054937081323
17,81.0591392301005
18,81.0591392301005
19,79.91113813529692
20,79.12869953257207
21,74.52338017134525
22,68.60402591686457
23,68.03774866457475
24,68.64659321409468
25,68.15338218504473
26,68.34117546009807
27,68.34392041751931
28,68.15328046931043
29,74.52970096866386
30,81.0629322408978
31,81.06576196505094
32,81.06292242416447
33,74.53883610544477
34,68.60030439633603
35,68.59967661419182
36,68.5991103731417
37,68.609114420065
38,79.91090770481055
39,83.056477542204
40,83.05647754220398
41,83.05397875837433
42,83.052709972299
43,83.05270997229894
44,82.92492729712413
45,79.90640320410878
46,79.03815616920227
47,71.16726630989994
48,68.6077907344153
49,68.59245598396834
50,68.59196536332767
51,68.5804468279869
52,68.59794477054648
53,68.64719962467862
54,81.05537908563988
55,81.06078380993767
56,81.054969594707
57,73.10745241964253
58,68.59699688282608
59,68.55669255379789
60,68.55609758825592
61,68.59830076571745
62,78.54427638551702
63,83.0623389350239
64,83.06074117826316
65,83.06074117826317
66,83.05910060706395
67,83.05242594655024
68,80.15494839677645
69,79.89518865025953
70,73.45556900374852
71,69.86833670312183
72,69.8937062182638
73,68.03254026417015
74,68.02639000401797
75,68.03001888809065
76,68.59033601077952
77,71.55676612068584
78,80.9976458825368
79,81.04222535279378
80,81.03596740947961
81,68.60466216579123
82,68.595141952144
83,68.59250450589674
84,68.58544280653167
85,68.59372620221848
86,72.05086189143806
87,81.19533217410698
88,81.78169485650787
89,81.78169485650803
90,81.78169485650787
91,81.77014204468381
92,79.90346992153079
93,79.88736455184579
94,72.87566898477135
95,68.59171161420865
96,68.59005643958278
97,68.54314939195854
98,68.5429329648461
99,68.54280181584781
100,68.59132761035366
101,69.8712562004669
102,80.99726740575551
103,81.0549085243824
104,81.0470469228275
105,70.62513459536575
106,68.60479689837788
107,68.59904883204767
108,68.59904883204767
109,68.60302326176705
110,79.90985614413228
111,83.0555806095799
112,83.05875854193482
113,83.0587585419348
114,83.0575656099214
115,83.052709972299
116,83.05410740011368
