origin_nuts2,destination_nuts2
AT34,DE14
AT34,DE27
DE21,AT33
AT33,DE21
DE22,AT31
ITH3,AT33
AT32,DE21
DEF0,DK03
AT31,DE22
ITH1,AT32
AT33,DE27
DE27,AT34
AT31,DE21
DK03,DEF0
AT33,ITH1
AT33,ITH3
DE21,AT32
ITH1,AT33
AT32,ITH1
DE14,AT34
SE23,NO08
DE27,AT33
NO08,SE23
DE21,AT31
