Year,Scenario,Type,Total Electricity (kWh),Avg Electrification (%),Δ Electricity (kWh),Δ Electricity (%),Δ Electrification (pp),Countries
2030,case_20251022_152235_var_var,Reference,8932.555681000002,63.95001808522674,0.0,0.0,0.0,6
2030,case_20251022_152358_var_uni,Comparison,8970.594306,63.91024022374188,38.03862499999957,0.4258425735974902,-0.03977786148485999,6
2030,case_20251022_153056_uni_var,Comparison,8220.787805,59.65407831500627,-711.767876000001,-7.968244491483753,-4.2959397702204765,6
2030,case_20251022_153317_uni_uni,Comparison,8121.36266,58.134467757234496,-811.1930210000015,-9.08130942553709,-5.8155503279922485,6
2040,case_20251022_152235_var_var,Reference,23500.195204000007,97.98325469910971,0.0,0.0,0.0,6
2040,case_20251022_152358_var_uni,Comparison,23176.212953000006,96.44827233636852,-323.9822510000049,-1.3786364248789547,-1.534982362741194,6
2040,case_20251022_153056_uni_var,Comparison,23474.693611000006,98.02103552006945,-25.501592999999957,-0.10851651562307107,0.037780820959739,6
2040,case_20251022_153317_uni_uni,Comparison,23356.880692000002,97.34407917012875,-143.31451200000538,-0.6098439215330886,-0.6391755289809637,6
