year,scenario,country,delta_electricity_MWh,delta_electrification_pct
2020,case_20251028_091411_var_uni,SE,117.91438500000004,25.573351411394555
2020,case_20251028_091411_var_uni,IT,114.25083100000003,3.093017804148456
2020,case_20251028_091411_var_uni,DE,-322.6921699999999,-3.40812843545669
2020,case_20251028_091411_var_uni,DK,92.69382000000003,8.494350821047115
2020,case_20251028_091411_var_uni,AT,-132.01489700000002,-3.438425774293398
2020,case_20251028_091411_var_uni,NO,56.396602999999985,50.54247959672844
2020,case_20251028_091502_uni_var,SE,30.13219400000002,6.535090554632577
2020,case_20251028_091502_uni_var,IT,9.410864999999987,0.25477252783654913
2020,case_20251028_091502_uni_var,DE,18.67465900000002,0.19723328439646615
2020,case_20251028_091502_uni_var,DK,-24.818194000000005,-2.2743096023655873
2020,case_20251028_091502_uni_var,AT,-215.70971700000007,-5.61831934802416
2020,case_20251028_091502_uni_var,NO,8.306711999999983,7.444452108925223
2020,case_20251028_091635_uni_uni,SE,34.64959200000002,7.514826842403425
2020,case_20251028_091635_uni_uni,IT,225.99601899999993,6.118202422585693
2020,case_20251028_091635_uni_uni,DE,-297.4704449999999,-3.1417480082532645
2020,case_20251028_091635_uni_uni,DK,-13.859504000000015,-1.2700683628716556
2020,case_20251028_091635_uni_uni,AT,-310.49136499999986,-8.086977556539274
2020,case_20251028_091635_uni_uni,NO,-12.808925000000006,-11.479323309062432
2024,case_20251028_091411_var_uni,SE,0.20542599999998856,0.041733414061610574
2024,case_20251028_091411_var_uni,IT,101.267491,2.568025717126867
2024,case_20251028_091411_var_uni,DE,-146.32019400000013,-1.447564955085907
2024,case_20251028_091411_var_uni,DK,5.684341886080802e-14,3.552713678800501e-15
2024,case_20251028_091411_var_uni,AT,-73.91117599999984,-1.8032381583770558
2024,case_20251028_091411_var_uni,NO,0.0,0.0
2024,case_20251028_091502_uni_var,SE,-140.42702300000008,-28.52842566020412
2024,case_20251028_091502_uni_var,IT,157.918495,4.004629246955751
2024,case_20251028_091502_uni_var,DE,54.68459799999971,0.5410019278368114
2024,case_20251028_091502_uni_var,DK,10.324092000000007,0.886211832717354
2024,case_20251028_091502_uni_var,AT,-569.1962469999996,-13.886890282416491
2024,case_20251028_091502_uni_var,NO,-23.303591999999995,-19.56287754416512
2024,case_20251028_091635_uni_uni,SE,-160.1534200000001,-32.53593809550974
2024,case_20251028_091635_uni_uni,IT,301.0011020000004,7.6330376289664414
2024,case_20251028_091635_uni_uni,DE,-41.68950400000017,-0.4124397566097553
2024,case_20251028_091635_uni_uni,DK,-9.68556799999999,-0.8314014412297546
2024,case_20251028_091635_uni_uni,AT,-717.6390809999994,-17.508504737843122
2024,case_20251028_091635_uni_uni,NO,-54.10299299999997,-45.4183297936139
2028,case_20251028_091411_var_uni,SE,-3.9062200000000757,-0.7463337207630332
2028,case_20251028_091411_var_uni,IT,-145.6545319999998,-3.4737820588457886
2028,case_20251028_091411_var_uni,DE,73.67937599999959,0.6855339620387539
2028,case_20251028_091411_var_uni,DK,-4.367015999999921,-0.35254918058186036
2028,case_20251028_091411_var_uni,AT,-26.291401000000405,-0.6032619774502166
2028,case_20251028_091411_var_uni,NO,0.0,0.0
2028,case_20251028_091502_uni_var,SE,-87.95607200000006,-16.805142020384892
2028,case_20251028_091502_uni_var,IT,189.89629999999977,4.528924378961058
2028,case_20251028_091502_uni_var,DE,154.54149199999983,1.4378981979701884
2028,case_20251028_091502_uni_var,DK,0.12603300000000672,0.010174598879089558
2028,case_20251028_091502_uni_var,AT,-754.9940599999995,-17.323504717652895
2028,case_20251028_091502_uni_var,NO,0.0,0.0
2028,case_20251028_091635_uni_uni,SE,-94.54641600000002,-18.064312414070415
2028,case_20251028_091635_uni_uni,IT,161.94858899999997,3.8623865386552865
2028,case_20251028_091635_uni_uni,DE,285.7511469999995,2.6587103179980573
2028,case_20251028_091635_uni_uni,DK,-92.53907400000003,-7.470679035503679
2028,case_20251028_091635_uni_uni,AT,-975.9289949999998,-22.392905398031303
2028,case_20251028_091635_uni_uni,NO,0.0,0.0
2030,case_20251028_091411_var_uni,SE,0.0,0.0
2030,case_20251028_091411_var_uni,IT,53.48601800000017,1.2387471645779087
2030,case_20251028_091411_var_uni,DE,127.98992999999973,1.1564388565643071
2030,case_20251028_091411_var_uni,DK,-0.006220999999868582,-0.00048770697257793927
2030,case_20251028_091411_var_uni,AT,15.052787000000535,0.3354076790427172
2030,case_20251028_091411_var_uni,NO,0.0,0.0
2030,case_20251028_091502_uni_var,SE,-45.73642899999976,-8.48598878353394
2030,case_20251028_091502_uni_var,IT,326.43074800000034,7.5602031128041745
2030,case_20251028_091502_uni_var,DE,-279.9612389999993,-2.529558826269408
2030,case_20251028_091502_uni_var,DK,-17.137687999999912,-1.343541260873593
2030,case_20251028_091502_uni_var,AT,-967.3137480000019,-21.553778809239347
2030,case_20251028_091502_uni_var,NO,0.0,0.0
2030,case_20251028_091635_uni_uni,SE,-78.69627099999974,-14.601395159467884
2030,case_20251028_091635_uni_uni,IT,206.39815400000032,4.780223609590998
2030,case_20251028_091635_uni_uni,DE,3.1463559999997415,0.028428544431736924
2030,case_20251028_091635_uni_uni,DK,-75.37830699999984,-5.909423945620922
2030,case_20251028_091635_uni_uni,AT,-898.0469890000018,-20.01037012247553
2030,case_20251028_091635_uni_uni,NO,0.0,0.0
2034,case_20251028_091411_var_uni,SE,0.0,0.0
2034,case_20251028_091411_var_uni,IT,-284.513381,-6.229329772011056
2034,case_20251028_091411_var_uni,DE,18.870531999999912,0.16118597220261677
2034,case_20251028_091411_var_uni,DK,0.0,0.0
2034,case_20251028_091411_var_uni,AT,0.0,0.0
2034,case_20251028_091411_var_uni,NO,0.0,0.0
2034,case_20251028_091502_uni_var,SE,0.0,0.0
2034,case_20251028_091502_uni_var,IT,668.6183029999997,14.639184570397795
2034,case_20251028_091502_uni_var,DE,-454.5677339999993,-3.8827703460471668
2034,case_20251028_091502_uni_var,DK,-48.63492800000017,-3.6044852726178505
2034,case_20251028_091502_uni_var,AT,-847.253784999999,-17.847023748138767
2034,case_20251028_091502_uni_var,NO,0.0,0.0
2034,case_20251028_091635_uni_uni,SE,0.0,0.0
2034,case_20251028_091635_uni_uni,IT,153.56589600000007,3.362276345794683
2034,case_20251028_091635_uni_uni,DE,56.57085399999869,0.48320990739890846
2034,case_20251028_091635_uni_uni,DK,-82.8216080000002,-6.138166211504256
2034,case_20251028_091635_uni_uni,AT,-541.8137169999995,-11.413064703088992
2034,case_20251028_091635_uni_uni,NO,0.0,0.0
2038,case_20251028_091411_var_uni,SE,0.0,0.0
2038,case_20251028_091411_var_uni,IT,-319.79015000000027,-6.638937409473314
2038,case_20251028_091411_var_uni,DE,126.60763000000043,1.025410689631343
2038,case_20251028_091411_var_uni,DK,0.0,0.0
2038,case_20251028_091411_var_uni,AT,0.0,0.0
2038,case_20251028_091411_var_uni,NO,0.0,0.0
2038,case_20251028_091502_uni_var,SE,0.0,0.0
2038,case_20251028_091502_uni_var,IT,445.3034190000003,9.244629707588103
2038,case_20251028_091502_uni_var,DE,-332.7720040000004,-2.695161201132308
2038,case_20251028_091502_uni_var,DK,0.0,0.0
2038,case_20251028_091502_uni_var,AT,-444.0076760000002,-8.86824389815763
2038,case_20251028_091502_uni_var,NO,0.0,0.0
2038,case_20251028_091635_uni_uni,SE,0.0,0.0
2038,case_20251028_091635_uni_uni,IT,-28.10089199999993,-0.5833827675886738
2038,case_20251028_091635_uni_uni,DE,58.784184000000096,0.4761002970074202
2038,case_20251028_091635_uni_uni,DK,0.0,0.0
2038,case_20251028_091635_uni_uni,AT,-185.43065500000012,-3.7036392842900625
2038,case_20251028_091635_uni_uni,NO,0.0,0.0
2040,case_20251028_091411_var_uni,SE,0.0,0.0
2040,case_20251028_091411_var_uni,IT,-546.981734,-11.068759061826768
2040,case_20251028_091411_var_uni,DE,230.84851000000344,1.8224585486566411
2040,case_20251028_091411_var_uni,DK,0.0,0.0
2040,case_20251028_091411_var_uni,AT,0.0,0.0
2040,case_20251028_091411_var_uni,NO,0.0,0.0
2040,case_20251028_091502_uni_var,SE,0.0,0.0
2040,case_20251028_091502_uni_var,IT,37.055019000001266,0.7498478690923349
2040,case_20251028_091502_uni_var,DE,-40.89728099999775,-0.32286801147324695
2040,case_20251028_091502_uni_var,DK,0.0,0.0
2040,case_20251028_091502_uni_var,AT,0.0,0.0
2040,case_20251028_091502_uni_var,NO,0.0,0.0
2040,case_20251028_091635_uni_uni,SE,0.0,0.0
2040,case_20251028_091635_uni_uni,IT,-189.52870799999982,-3.835315642913457
2040,case_20251028_091635_uni_uni,DE,39.0432550000005,0.3082312025411511
2040,case_20251028_091635_uni_uni,DK,0.0,0.0
2040,case_20251028_091635_uni_uni,AT,0.0,0.0
2040,case_20251028_091635_uni_uni,NO,0.0,0.0
2044,case_20251028_091411_var_uni,SE,0.0,0.0
2044,case_20251028_091411_var_uni,IT,0.0,0.0
2044,case_20251028_091411_var_uni,DE,0.0,0.0
2044,case_20251028_091411_var_uni,DK,0.0,0.0
2044,case_20251028_091411_var_uni,AT,0.0,0.0
