scenario,country,ref_electricity_MWh,case_electricity_MWh,delta_electricity_MWh,pct_change_electricity,ref_electrification_pct,case_electrification_pct,delta_electrification_pct,ref_total_fuel_MWh,case_total_fuel_MWh,delta_total_fuel_MWh
case_20251028_091344_var_var,AT,3705.1593110000026,3705.1593110000026,0.0,0.0,82.55871929561651,82.55871929561651,0.0,4487.9079310000025,4487.9079310000025,0.0
case_20251028_091344_var_var,DE,2993.021850999999,2993.021850999999,0.0,0.0,27.043118019476264,27.043118019476264,0.0,11067.591572999998,11067.591572999998,0.0
case_20251028_091344_var_var,DK,676.949979,676.949979,0.0,0.0,53.07076432258439,53.07076432258439,0.0,1275.561013,1275.561013,0.0
case_20251028_091344_var_var,IT,1014.770179,1014.770179,0.0,0.0,23.50228559368629,23.50228559368629,0.0,4317.751033,4317.751033,0.0
case_20251028_091344_var_var,NO,130.429864,130.429864,0.0,0.0,100.0,100.0,0.0,130.429864,130.429864,0.0
case_20251028_091344_var_var,SE,538.9640519999997,538.9640519999997,0.0,0.0,100.0,100.0,0.0,538.9640519999997,538.9640519999997,0.0
case_20251028_091411_var_uni,AT,3705.1593110000026,3720.212098000003,15.052787000000535,0.40626558095117016,82.55871929561651,82.89412697465923,0.3354076790427172,4487.9079310000025,4487.907930000003,-9.99999429041054e-07
case_20251028_091411_var_uni,DE,2993.021850999999,3121.011780999999,127.98992999999973,4.276277834631811,27.043118019476264,28.19955687604057,1.1564388565643071,11067.591572999998,11067.591574999997,1.999998858082108e-06
case_20251028_091411_var_uni,DK,676.949979,676.9437580000001,-0.006220999999868582,-0.0009189748419902946,53.07076432258439,53.07027661561181,-0.00048770697257793927,1275.561013,1275.561013,0.0
case_20251028_091411_var_uni,IT,1014.770179,1068.2561970000002,53.48601800000017,5.270751851686033,23.50228559368629,24.7410327582642,1.2387471645779087,4317.751033,4317.751031,-1.99999976757681e-06
case_20251028_091411_var_uni,NO,130.429864,130.429864,0.0,0.0,100.0,100.0,0.0,130.429864,130.429864,0.0
case_20251028_091411_var_uni,SE,538.9640519999997,538.9640519999997,0.0,0.0,100.0,100.0,0.0,538.9640519999997,538.9640519999997,0.0
case_20251028_091502_uni_var,AT,3705.1593110000026,2737.8455630000008,-967.3137480000019,-26.107210697478187,82.55871929561651,61.004940486377166,-21.553778809239347,4487.9079310000025,4487.907932000001,9.999985195463523e-07
case_20251028_091502_uni_var,DE,2993.021850999999,2713.0606119999998,-279.9612389999993,-9.353798700348994,27.043118019476264,24.513559193206856,-2.529558826269408,11067.591572999998,11067.591575,2.0000024960609153e-06
case_20251028_091502_uni_var,DK,676.949979,659.8122910000001,-17.137687999999912,-2.5316032988605666,53.07076432258439,51.727223061710795,-1.343541260873593,1275.561013,1275.5610140000001,1.0000001111620804e-06
case_20251028_091502_uni_var,IT,1014.770179,1341.2009270000003,326.43074800000034,32.16794844342783,23.50228559368629,31.062488706490466,7.5602031128041745,4317.751033,4317.751033,0.0
case_20251028_091502_uni_var,NO,130.429864,130.429864,0.0,0.0,100.0,100.0,0.0,130.429864,130.429864,0.0
case_20251028_091502_uni_var,SE,538.9640519999997,493.22762299999994,-45.73642899999976,-8.485988783533895,100.0,91.51401121646606,-8.48598878353394,538.9640519999997,538.9640519999999,2.2737367544323206e-13
case_20251028_091635_uni_uni,AT,3705.1593110000026,2807.112322000001,-898.0469890000018,-24.237742931426713,82.55871929561651,62.548349173140984,-20.01037012247553,4487.9079310000025,4487.907929000001,-2.0000015865662135e-06
case_20251028_091635_uni_uni,DE,2993.021850999999,2996.168206999999,3.1463559999997415,0.10512305477985441,27.043118019476264,27.071546563908,0.028428544431736924,11067.591572999998,11067.591575999999,3.0000010156072676e-06
case_20251028_091635_uni_uni,DK,676.949979,601.5716720000001,-75.37830699999984,-11.134989192458464,53.07076432258439,47.161340376963466,-5.909423945620922,1275.561013,1275.5610150000002,2.000000222324161e-06
case_20251028_091635_uni_uni,IT,1014.770179,1221.1683330000003,206.39815400000032,20.339398838404406,23.50228559368629,28.28250920327729,4.780223609590998,4317.751033,4317.751032,-9.99999429041054e-07
case_20251028_091635_uni_uni,NO,130.429864,130.429864,0.0,0.0,100.0,100.0,0.0,130.429864,130.429864,0.0
case_20251028_091635_uni_uni,SE,538.9640519999997,460.26778099999996,-78.69627099999974,-14.60139515946785,100.0,85.39860484053212,-14.601395159467884,538.9640519999997,538.9640519999999,2.2737367544323206e-13
