year,scenario,country,infrastructure_type,ref_capacity_MW,case_capacity_MW,delta_capacity_MW,pct_change_capacity,ref_utilization_pct,case_utilization_pct,delta_utilization_pct
2040,case_20251028_091411_var_uni,DE,fast_charging_station,317.375189865,317.375189865,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,DK,slow_charging_station,48.195576969,48.195576969,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,IT,slow_charging_station,175.603954726,133.64447975299998,-41.95947497300003,-23.894379280051307,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,IT,fast_charging_station,126.927825233,126.927825233,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,NO,slow_charging_station,23.959363592000003,24.381673975,0.42231038299999923,1.7626110200231198,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,NO,fast_charging_station,20.998245378,20.998245378,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,SE,slow_charging_station,44.959503257,46.307267802000005,1.347764545000004,2.997730062309269,0.0,0.0,0.0
2040,case_20251028_091411_var_uni,SE,fast_charging_station,35.52,35.52,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,AT,slow_charging_station,160.79126240800005,100.834120509,-59.95714189900005,-37.288805996722445,0.562946524480228,0.8976810784266213,0.3347345539463933
2040,case_20251028_091502_uni_var,AT,fast_charging_station,151.58298977100003,150.03049814300002,-1.5524916280000127,-1.0241859131723146,0.5971440626428626,0.6033232120212051,0.006179149378342519
2040,case_20251028_091502_uni_var,DE,slow_charging_station,284.13567473599994,284.60730415899997,0.4716294230000244,0.16598740141949134,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,DE,fast_charging_station,317.375189865,317.375189865,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,DK,slow_charging_station,48.195576969,48.195576969,0.0,0.0,0.0,0.0,0.0
2040,case_20251028_091502_uni_var,DK,fast_charging_station,54.597960412,54.597960412,0.0,0.0,0.0,0.0,0.0
