;Unnamed: 0;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
76;109;14090889;110020300;110020102;4;622;482;"[(""ES230"", ""ES220"", ""ES212"")]"
77;110;14100621;110040102;110020102;4;575;445;
78;115;14087645;110020103;110020102;4;2433031;1886071;"[(""ES213"",""ES212"")]"
79;116;14087644;110020103;110020101;4;2224333;1724289;"[(""ES213"",""ES211"")]"
80;117;16718528;110020103;110020101;2;2039839;1004847;"[(""ES213"",""ES211"")]"
81;118;16718529;110020103;110020102;2;2006675;988510;"[(""ES213"",""ES212"")]"
82;119;14087643;110020103;110010300;4;1306539;1012821;"[(""ES213"",""ES130"")]"
83;120;16718527;110020103;110010300;2;1271743;626474;"[(""ES213"",""ES130"")]"
84;121;14087654;110020103;110040102;4;1029469;798038;
85;122;11456760;110020103;110020101;1;507044;393057;"[(""ES213"",""ES211"")]"
86;123;16718538;110020103;110040102;2;381850;188104;
87;124;11456761;110020103;110020102;1;362523;281026;"[(""ES213"",""ES212"")]"
88;125;14087648;110020103;110020300;4;242558;188029;"[(""ES213"",""ES211"", ""ES230"")]"
89;126;11456759;110020103;110010300;1;191237;148245;"[(""ES213"",""ES130"")]"
90;127;19349411;110020103;110010300;3;152684;61566;"[(""ES213"",""ES130"")]"
91;128;16718532;110020103;110020300;2;132167;65107;"[(""ES213"",""ES211"", ""ES230"")]"
92;129;14087647;110020103;110020200;4;130707;101323;"[(""ES213"",""ES212"", ""ES220"")]"
93;130;16718531;110020103;110020200;2;127819;62965;"[(""ES213"",""ES212"", ""ES220"")]"
94;131;19349413;110020103;110020102;3;85508;34479;"[(""ES213"",""ES212"")]"
95;132;11456770;110020103;110040102;1;83900;65039;
96;133;19349422;110020103;110040102;3;54919;22145;
97;134;19349415;110020103;110020200;3;39964;16115;"[(""ES213"",""ES212"", ""ES220"")]"
98;135;11456763;110020103;110020200;1;30120;23349;"[(""ES213"",""ES212"", ""ES220"")]"
99;136;19349416;110020103;110020300;3;29907;12059;"[(""ES213"",""ES211"", ""ES230"")]"
100;137;19349412;110020103;110020101;3;27021;10896;"[(""ES213"",""ES211"")]"
101;138;11456764;110020103;110020300;1;25429;19712;"[(""ES213"",""ES211"", ""ES230"")]"
102;140;16718530;110020103;110020103;2;154497612;0;[('ES213', 'ES213')]
103;141;14087646;110020103;110020103;4;68680284;0;[('ES213', 'ES213')]
104;142;11456762;110020103;110020103;1;12999569;0;[('ES213', 'ES213')]
105;143;14086024;110020102;110020103;4;2119121;1642729;"[(""ES212"", ""ES213"")]"
106;144;16716908;110020102;110020103;2;1816570;894862;"[(""ES212"", ""ES213"")]"
107;145;16713664;110010300;110020103;2;863093;425169;"[(""ES130"", ""ES213"")]"
108;146;14082780;110010300;110020103;4;852344;660732;"[(""ES130"", ""ES213"")]"
109;147;16715286;110020101;110020103;2;744248;366625;"[(""ES211"",""ES213"")]"
110;148;14084402;110020101;110020103;4;668142;517940;"[(""ES211"",""ES213"")]"
111;149;11455140;110020102;110020103;1;306704;237755;"[(""ES212"", ""ES213"")]"
112;150;11451896;110010300;110020103;1;261822;202963;"[(""ES130"", ""ES213"")]"
113;151;11453518;110020101;110020103;1;239824;185910;"[(""ES211"",""ES213"")]"
114;152;19347792;110020102;110020103;3;151790;61206;"[(""ES212"", ""ES213"")]"
115;153;16720152;110020200;110020103;2;17140;8443;"[(""ES220"",""ES212"", ""ES213"")]"
116;154;16731506;110040102;110020103;2;16072;7917;
117;155;19344548;110010300;110020103;3;12125;4889;"[(""ES130"", ""ES213"")]"
118;156;14090890;110020300;110020103;4;11374;8817;"[(""ES230"",""ES211"", ""ES213"")]"
119;157;16721774;110020300;110020103;2;9673;4765;"[(""ES230"",""ES211"", ""ES213"")]"
120;158;19346170;110020101;110020103;3;8139;3282;"[(""ES211"",""ES213"")]"
121;159;19351036;110020200;110020103;3;7849;3165;"[(""ES220"",""ES212"", ""ES213"")]"
122;160;14100622;110040102;110020103;4;5886;4563;
123;161;14089268;110020200;110020103;4;5319;4123;"[(""ES220"",""ES212"", ""ES213"")]"
124;162;11460006;110020300;110020103;1;4549;3526;"[(""ES230"",""ES211"", ""ES213"")]"
125;163;11458384;110020200;110020103;1;4061;3148;"[(""ES220"",""ES212"", ""ES213"")]"
126;164;19362390;110040102;110020103;3;3712;1497;
127;165;19352658;110020300;110020103;3;2892;1166;"[(""ES230"",""ES211"", ""ES213"")]"
128;166;11469738;110040102;110020103;1;1361;1055;
