,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6191747,16715284,110020101,110020101,2,41569230,0
3560863,14084400,110020101,110020101,4,19659546,0
929979,11453516,110020101,110020101,1,3721091,0
6191749,16715286,110020101,110020103,2,744248,366625
3560865,14084402,110020101,110020103,4,668142,517940
3560873,14084410,110020101,110040102,4,435705,337756
929981,11453518,110020101,110020103,1,239824,185910
3560866,14084403,110020101,110020200,4,237828,184362
6191750,16715287,110020101,110020200,2,212824,104839
6191757,16715294,110020101,110040102,2,195875,96490
3560864,14084401,110020101,110020102,4,192195,148988
6191748,16715285,110020101,110020102,2,173307,85373
3560867,14084404,110020101,110020300,4,160207,124192
6191751,16715288,110020101,110020300,2,152117,74934
6191746,16715283,110020101,110010300,2,55752,27464
929989,11453526,110020101,110040102,1,51712,40087
929980,11453517,110020101,110020102,1,51146,39648
8822630,19346167,110020101,110010300,3,40905,16494
3560862,14084399,110020101,110010300,4,40078,31068
929982,11453519,110020101,110020200,1,38920,30170
8822634,19346171,110020101,110020200,3,37701,15202
8822641,19346178,110020101,110040102,3,34982,14106
8822635,19346172,110020101,110020300,3,23941,9654
929983,11453520,110020101,110020300,1,22388,17355
929978,11453515,110020101,110010300,1,15304,11863
8822633,19346170,110020101,110020103,3,8139,3282
8822632,19346169,110020101,110020102,3,5815,2345
8822631,19346168,110020101,110020101,3,0,0
