,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6190124,16713661,110010300,110010300,2,68978328,0
3559240,14082777,110010300,110010300,4,31408590,0
928356,11451893,110010300,110010300,1,5944910,0
3564106,14087643,110020103,110010300,4,1306539,1012821
6194990,16718527,110020103,110010300,2,1271743,626474
933222,11456759,110020103,110010300,1,191237,148245
8825874,19349411,110020103,110010300,3,152684,61566
8824252,19347789,110020102,110010300,3,72043,29050
6193368,16716905,110020102,110010300,2,63707,31383
6191746,16715283,110020101,110010300,2,55752,27464
8838850,19362387,110040102,110010300,3,45088,18181
8827496,19351033,110020200,110010300,3,43858,17685
8822630,19346167,110020101,110010300,3,40905,16494
3560862,14084399,110020101,110010300,4,40078,31068
6207966,16731503,110040102,110010300,2,33850,16675
8829118,19352655,110020300,110010300,3,21916,8837
3562484,14086021,110020102,110010300,4,20724,16065
6196612,16720149,110020200,110010300,2,18825,9274
929978,11453515,110020101,110010300,1,15304,11863
931600,11455137,110020102,110010300,1,15132,11730
6198234,16721771,110020300,110010300,2,11015,5426
3577082,14100619,110040102,110010300,4,8779,6805
936466,11460003,110020300,110010300,1,4092,3172
934844,11458381,110020200,110010300,1,2804,2173
946198,11469735,110040102,110010300,1,2241,1737
3567350,14090887,110020300,110010300,4,1710,1326
8821008,19344545,110010300,110010300,3,0,0
3565728,14089265,110020200,110010300,4,0,0
