,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6198239,16721776,110020300,110020300,2,37521273,0
3567355,14090892,110020300,110020300,4,17580796,0
936471,11460008,110020300,110020300,1,3327633,0
3564111,14087648,110020103,110020300,4,242558,188029
6196617,16720154,110020200,110020300,2,175605,86505
3560867,14084404,110020101,110020300,4,160207,124192
6191751,16715288,110020101,110020300,2,152117,74934
6194995,16718532,110020103,110020300,2,132167,65107
3565733,14089270,110020200,110020300,4,98426,76299
6193373,16716910,110020102,110020300,2,46652,22981
8827501,19351038,110020200,110020300,3,45809,18471
6207971,16731508,110040102,110020300,2,40957,20176
8825879,19349416,110020103,110020300,3,29907,12059
933227,11456764,110020103,110020300,1,25429,19712
6190129,16713666,110010300,110020300,2,24214,11928
8822635,19346172,110020101,110020300,3,23941,9654
8824257,19347794,110020102,110020300,3,22503,9074
929983,11453520,110020101,110020300,1,22388,17355
3577087,14100624,110040102,110020300,4,20549,15930
8838855,19362392,110040102,110020300,3,19546,7882
8821013,19344550,110010300,110020300,3,17363,7001
3562489,14086026,110020102,110020300,4,15380,11923
934849,11458386,110020200,110020300,1,11924,9244
931605,11455142,110020102,110020300,1,10481,8125
3559245,14082782,110010300,110020300,4,9644,7476
928361,11451898,110010300,110020300,1,7035,5453
946203,11469740,110040102,110020300,1,1965,1524
8829123,19352660,110020300,110020300,3,0,0
