,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6196616,16720153,110020200,110020200,2,86742126,0
3565732,14089269,110020200,110020200,4,40585440,0
934848,11458385,110020200,110020200,1,7681873,0
6196614,16720151,110020200,110020102,2,715402,352415
3565730,14089267,110020200,110020102,4,473759,367255
6196617,16720154,110020200,110020300,2,175605,86505
6196613,16720150,110020200,110020101,2,140029,68980
3565729,14089266,110020200,110020101,4,104051,80660
3565733,14089270,110020200,110020300,4,98426,76299
6196623,16720160,110020200,110040102,2,85049,41896
934846,11458383,110020200,110020102,1,79004,61244
3565739,14089276,110020200,110040102,4,51039,39565
8827501,19351038,110020200,110020300,3,45809,18471
8827507,19351044,110020200,110040102,3,43903,17703
8827496,19351033,110020200,110010300,3,43858,17685
8827497,19351034,110020200,110020101,3,19202,7743
6196612,16720149,110020200,110010300,2,18825,9274
934845,11458382,110020200,110020101,1,17836,13826
6196615,16720152,110020200,110020103,2,17140,8443
8827498,19351035,110020200,110020102,3,15247,6148
934849,11458386,110020200,110020300,1,11924,9244
934855,11458392,110020200,110040102,1,9720,7535
8827499,19351036,110020200,110020103,3,7849,3165
3565731,14089268,110020200,110020103,4,5319,4123
934847,11458384,110020200,110020103,1,4061,3148
934844,11458381,110020200,110010300,1,2804,2173
8827500,19351037,110020200,110020200,3,0,0
3565728,14089265,110020200,110010300,4,0,0
