,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6207977,16731514,110040102,110040102,2,47165441,0
3577093,14100630,110040102,110040102,4,22479371,0
946209,11469746,110040102,110040102,1,4254818,0
6207967,16731504,110040102,110020101,2,243964,120179
3577083,14100620,110040102,110020101,4,180657,140044
8838850,19362387,110040102,110010300,3,45088,18181
6207971,16731508,110040102,110020300,2,40957,20176
946199,11469736,110040102,110020101,1,35400,27441
6207966,16731503,110040102,110010300,2,33850,16675
6207970,16731507,110040102,110020200,2,24235,11938
3577087,14100624,110040102,110020300,4,20549,15930
8838855,19362392,110040102,110020300,3,19546,7882
8838854,19362391,110040102,110020200,3,19293,7779
6207969,16731506,110040102,110020103,2,16072,7917
3577082,14100619,110040102,110010300,4,8779,6805
3577086,14100623,110040102,110020200,4,8422,6529
8838851,19362388,110040102,110020101,3,8205,3308
3577085,14100622,110040102,110020103,4,5886,4563
8838853,19362390,110040102,110020103,3,3712,1497
8838852,19362389,110040102,110020102,3,2798,1128
6207968,16731505,110040102,110020102,2,2636,1298
946198,11469735,110040102,110010300,1,2241,1737
946202,11469739,110040102,110020200,1,1986,1539
946203,11469740,110040102,110020300,1,1965,1524
946201,11469738,110040102,110020103,1,1361,1055
946200,11469737,110040102,110020102,1,776,601
3577084,14100621,110040102,110020102,4,575,445
8838861,19362398,110040102,110040102,3,0,0
