,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6198239,16721776,110020300,110020300,2,37521273,0
3567355,14090892,110020300,110020300,4,17580796,0
936471,11460008,110020300,110020300,1,3327633,0
3567354,14090891,110020300,110020200,4,462085,358205
6198238,16721775,110020300,110020200,2,371516,183013
3567351,14090888,110020300,110020101,4,176060,136481
6198235,16721772,110020300,110020101,2,138604,68278
3567361,14090898,110020300,110040102,4,137255,106399
936470,11460007,110020300,110020200,1,116300,90155
6198245,16721782,110020300,110040102,2,83952,41356
936467,11460004,110020300,110020101,1,41962,32529
8829122,19352659,110020300,110020200,3,30668,12366
8829129,19352666,110020300,110040102,3,30197,12176
936477,11460014,110020300,110040102,1,22545,17477
8829118,19352655,110020300,110010300,3,21916,8837
3567353,14090890,110020300,110020103,4,11374,8817
6198234,16721771,110020300,110010300,2,11015,5426
6198237,16721774,110020300,110020103,2,9673,4765
8829119,19352656,110020300,110020101,3,8165,3292
936469,11460006,110020300,110020103,1,4549,3526
936466,11460003,110020300,110010300,1,4092,3172
6198236,16721773,110020300,110020102,2,3235,1594
8829121,19352658,110020300,110020103,3,2892,1166
8829120,19352657,110020300,110020102,3,2660,1073
936468,11460005,110020300,110020102,1,2162,1676
3567350,14090887,110020300,110010300,4,1710,1326
3567352,14090889,110020300,110020102,4,622,482
8829123,19352660,110020300,110020300,3,0,0
