,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6194993,16718530,110020103,110020103,2,154497612,0
3564109,14087646,110020103,110020103,4,68680284,0
933225,11456762,110020103,110020103,1,12999569,0
3564108,14087645,110020103,110020102,4,2433031,1886071
3564107,14087644,110020103,110020101,4,2224333,1724289
6194991,16718528,110020103,110020101,2,2039839,1004847
6194992,16718529,110020103,110020102,2,2006675,988510
3564106,14087643,110020103,110010300,4,1306539,1012821
6194990,16718527,110020103,110010300,2,1271743,626474
3564117,14087654,110020103,110040102,4,1029469,798038
933223,11456760,110020103,110020101,1,507044,393057
6195001,16718538,110020103,110040102,2,381850,188104
933224,11456761,110020103,110020102,1,362523,281026
3564111,14087648,110020103,110020300,4,242558,188029
933222,11456759,110020103,110010300,1,191237,148245
8825874,19349411,110020103,110010300,3,152684,61566
6194995,16718532,110020103,110020300,2,132167,65107
3564110,14087647,110020103,110020200,4,130707,101323
6194994,16718531,110020103,110020200,2,127819,62965
8825876,19349413,110020103,110020102,3,85508,34479
933233,11456770,110020103,110040102,1,83900,65039
8825885,19349422,110020103,110040102,3,54919,22145
8825878,19349415,110020103,110020200,3,39964,16115
933226,11456763,110020103,110020200,1,30120,23349
8825879,19349416,110020103,110020300,3,29907,12059
8825875,19349412,110020103,110020101,3,27021,10896
933227,11456764,110020103,110020300,1,25429,19712
8825877,19349414,110020103,110020103,3,0,0
