,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6193370,16716907,110020102,110020102,2,92845325,0
3562486,14086023,110020102,110020102,4,43213321,0
931602,11455139,110020102,110020102,1,8179269,0
3562487,14086024,110020102,110020103,4,2119121,1642729
6193371,16716908,110020102,110020103,2,1816570,894862
3562488,14086025,110020102,110020200,4,1653605,1281865
6193372,16716909,110020102,110020200,2,1374572,677129
8824256,19347793,110020102,110020200,3,620621,250250
3562485,14086022,110020102,110020101,4,526344,408019
6193369,16716906,110020102,110020101,2,421149,207463
931604,11455141,110020102,110020200,1,325070,251992
931603,11455140,110020102,110020103,1,306704,237755
8824255,19347792,110020102,110020103,3,151790,61206
3562495,14086032,110020102,110040102,4,103249,80038
931601,11455138,110020102,110020101,1,87568,67882
8824252,19347789,110020102,110010300,3,72043,29050
6193379,16716916,110020102,110040102,2,71189,35068
6193368,16716905,110020102,110010300,2,63707,31383
6193373,16716910,110020102,110020300,2,46652,22981
8824253,19347790,110020102,110020101,3,36227,14608
8824263,19347800,110020102,110040102,3,34251,13811
931611,11455148,110020102,110040102,1,26174,20290
8824257,19347794,110020102,110020300,3,22503,9074
3562484,14086021,110020102,110010300,4,20724,16065
3562489,14086026,110020102,110020300,4,15380,11923
931600,11455137,110020102,110010300,1,15132,11730
931605,11455142,110020102,110020300,1,10481,8125
8824254,19347791,110020102,110020102,3,0,0
