;Unnamed: 0;ID;ORIGINZONE_3_ID;DEST_ZONE_3_ID;TRIP_PURPOSE_ID;p_transport_car_trips;p_transport_car_vehicles;path
82;258;16715288;110020101;110020300;2;152117;74934;[('ES211', 'ES230')]
83;259;16718532;110020103;110020300;2;132167;65107;[('ES213','ES211', 'ES230')]
84;260;14089270;110020200;110020300;4;98426;76299;
85;261;16716910;110020102;110020300;2;46652;22981;[('ES212', 'ES220', 'ES230')]
86;262;19351038;110020200;110020300;3;45809;18471;
87;263;19349416;110020103;110020300;3;29907;12059;[('ES213','ES211', 'ES230')]
88;264;11456764;110020103;110020300;1;25429;19712;[('ES213','ES211', 'ES230')]
89;266;19346172;110020101;110020300;3;23941;9654;[('ES211', 'ES230')]
90;267;19347794;110020102;110020300;3;22503;9074;[('ES212', 'ES220', 'ES230')]
91;268;11453520;110020101;110020300;1;22388;17355;[('ES211', 'ES230')]
92;270;14086026;110020102;110020300;4;15380;11923;[('ES212', 'ES220', 'ES230')]
93;271;11458386;110020200;110020300;1;11924;9244;
94;272;11455142;110020102;110020300;1;10481;8125;[('ES212', 'ES220', 'ES230')]
95;284;19375367;110040201;110020200;3;2710;1093;
96;285;19375368;110040201;110020300;3;1916;773;
97;286;19375364;110040201;110020101;3;663;267;
98;287;16744483;110040201;110020200;2;527;260;
99;288;16744484;110040201;110020300;2;496;244;
100;289;19375366;110040201;110020103;3;444;179;
101;290;19375365;110040201;110020102;3;399;161;
102;292;16744480;110040201;110020101;2;242;119;
103;293;11482715;110040201;110020200;1;193;150;
104;294;16744482;110040201;110020103;2;181;89;
105;295;11482716;110040201;110020300;1;130;101;
106;296;11482714;110040201;110020103;1;125;97;
107;297;11482713;110040201;110020102;1;115;89;
108;299;16744481;110040201;110020102;2;87;43;
109;300;11482712;110040201;110020101;1;79;61;
110;308;16744498;110040201;110040201;2;47181098;0;[('ES412', 'ES412')]
111;309;14113614;110040201;110040201;4;21541738;0;[('ES412', 'ES412')]
112;310;11482730;110040201;110040201;1;4077346;0;[('ES412', 'ES412')]
113;311;16718546;110020103;110040201;2;8248;4063;
114;312;16716924;110020102;110040201;2;4230;2084;
115;313;11456778;110020103;110040201;1;4040;3132;
116;314;19351052;110020200;110040201;3;3905;1575;
117;315;19349430;110020103;110040201;3;3616;1458;
118;316;19347808;110020102;110040201;3;3505;1413;
119;318;16720168;110020200;110040201;2;3286;1619;
120;319;11455156;110020102;110040201;1;3285;2547;
121;321;16715302;110020101;110040201;2;3026;1491;
122;322;11453534;110020101;110040201;1;2618;2029;
123;324;11460022;110020300;110040201;1;1980;1535;
124;325;19352674;110020300;110040201;3;1875;756;
125;326;16721790;110020300;110040201;2;1859;916;
126;327;19346186;110020101;110040201;3;1844;744;
127;328;11458400;110020200;110040201;1;1447;1121;
128;339;16713664;110010300;110020103;2;863093;425169;[('ES130', 'ES213')]
129;340;14082780;110010300;110020103;4;852344;660732;[('ES130', 'ES213')]
130;341;11451896;110010300;110020103;1;261822;202963;[('ES130', 'ES213')]
131;342;14082778;110010300;110020101;4;76229;59092;[('ES130', 'ES213','ES211')]
132;343;16713662;110010300;110020101;2;36770;18113;[('ES130', 'ES213','ES211')]
133;344;16713666;110010300;110020300;2;24214;11928;
134;345;16713665;110010300;110020200;2;24081;11862;
135;346;19344549;110010300;110020200;3;23422;9444;
136;347;19344550;110010300;110020300;3;17363;7001;
137;348;19344548;110010300;110020103;3;12125;4889;[('ES130', 'ES213')]
138;349;19344546;110010300;110020101;3;11337;4571;[('ES130', 'ES213','ES211')]
139;350;11451894;110010300;110020101;1;10985;8516;[('ES130', 'ES213','ES211')]
140;351;14082782;110010300;110020300;4;9644;7476;
141;352;16713663;110010300;110020102;2;9619;4739;[('ES130', 'ES213', 'ES212')]
142;353;11451897;110010300;110020200;1;8556;6633;
143;354;11451898;110010300;110020300;1;7035;5453;
144;355;19344547;110010300;110020102;3;6820;2750;[('ES130', 'ES213', 'ES212')]
145;356;11451895;110010300;110020102;1;5510;4271;[('ES130', 'ES213', 'ES212')]
146;357;14082779;110010300;110020102;4;4707;3649;[('ES130', 'ES213', 'ES212')]
147;358;19344564;110010300;110040201;3;3464;1397;
148;359;16713680;110010300;110040201;2;3150;1552;
149;360;11451912;110010300;110040201;1;2119;1643;
150;364;16713661;110010300;110010300;2;68978328;0;[('ES130', 'ES130')]
151;365;14082777;110010300;110010300;4;31408590;0;[('ES130', 'ES130')]
152;366;11451893;110010300;110010300;1;5944910;0;[('ES130', 'ES130')]
153;367;14087643;110020103;110010300;4;1306539;1012821;[('ES213','ES130')]
154;368;16718527;110020103;110010300;2;1271743;626474;[('ES213','ES130')]
155;369;11456759;110020103;110010300;1;191237;148245;[('ES213','ES130')]
156;370;19349411;110020103;110010300;3;152684;61566;[('ES213','ES130')]
157;371;19347789;110020102;110010300;3;72043;29050;[('ES212', 'ES213', 'ES130')]
158;372;16716905;110020102;110010300;2;63707;31383;[('ES212', 'ES213', 'ES130')]
159;373;16715283;110020101;110010300;2;55752;27464;[('ES211', 'ES213','ES130')]
160;374;19351033;110020200;110010300;3;43858;17685;
161;375;19346167;110020101;110010300;3;40905;16494;[('ES211', 'ES213','ES130')]
162;376;14084399;110020101;110010300;4;40078;31068;[('ES211', 'ES213','ES130')]
163;377;19352655;110020300;110010300;3;21916;8837;
