,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6193370,16716907,110020102,110020102,2,92845325,0
3562486,14086023,110020102,110020102,4,43213321,0
931602,11455139,110020102,110020102,1,8179269,0
3564108,14087645,110020103,110020102,4,2433031,1886071
6194992,16718529,110020103,110020102,2,2006675,988510
6196614,16720151,110020200,110020102,2,715402,352415
3565730,14089267,110020200,110020102,4,473759,367255
933224,11456761,110020103,110020102,1,362523,281026
3560864,14084401,110020101,110020102,4,192195,148988
6191748,16715285,110020101,110020102,2,173307,85373
8825876,19349413,110020103,110020102,3,85508,34479
934846,11458383,110020200,110020102,1,79004,61244
929980,11453517,110020101,110020102,1,51146,39648
8827498,19351035,110020200,110020102,3,15247,6148
6190126,16713663,110010300,110020102,2,9619,4739
8821010,19344547,110010300,110020102,3,6820,2750
8822632,19346169,110020101,110020102,3,5815,2345
928358,11451895,110010300,110020102,1,5510,4271
3559242,14082779,110010300,110020102,4,4707,3649
6198236,16721773,110020300,110020102,2,3235,1594
8838852,19362389,110040102,110020102,3,2798,1128
8829120,19352657,110020300,110020102,3,2660,1073
6207968,16731505,110040102,110020102,2,2636,1298
936468,11460005,110020300,110020102,1,2162,1676
946200,11469737,110040102,110020102,1,776,601
3567352,14090889,110020300,110020102,4,622,482
3577084,14100621,110040102,110020102,4,575,445
8824254,19347791,110020102,110020102,3,0,0
