,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6207977,16731514,110040102,110040102,2,47165441,0
3577093,14100630,110040102,110040102,4,22479371,0
946209,11469746,110040102,110040102,1,4254818,0
3564117,14087654,110020103,110040102,4,1029469,798038
3560873,14084410,110020101,110040102,4,435705,337756
6195001,16718538,110020103,110040102,2,381850,188104
3559251,14082788,110010300,110040102,4,334750,259496
6191757,16715294,110020101,110040102,2,195875,96490
6190135,16713672,110010300,110040102,2,153455,75594
3567361,14090898,110020300,110040102,4,137255,106399
3562495,14086032,110020102,110040102,4,103249,80038
6196623,16720160,110020200,110040102,2,85049,41896
6198245,16721782,110020300,110040102,2,83952,41356
933233,11456770,110020103,110040102,1,83900,65039
6193379,16716916,110020102,110040102,2,71189,35068
8821019,19344556,110010300,110040102,3,54957,22160
8825885,19349422,110020103,110040102,3,54919,22145
929989,11453526,110020101,110040102,1,51712,40087
3565739,14089276,110020200,110040102,4,51039,39565
8827507,19351044,110020200,110040102,3,43903,17703
928367,11451904,110010300,110040102,1,40617,31486
8822641,19346178,110020101,110040102,3,34982,14106
8824263,19347800,110020102,110040102,3,34251,13811
8829129,19352666,110020300,110040102,3,30197,12176
931611,11455148,110020102,110040102,1,26174,20290
936477,11460014,110020300,110040102,1,22545,17477
934855,11458392,110020200,110040102,1,9720,7535
8838861,19362398,110040102,110040102,3,0,0
