,ID,ORIGINZONE_3_ID,DEST_ZONE_3_ID,TRIP_PURPOSE_ID,p_transport_car_trips,p_transport_car_vehicles
6191747,16715284,110020101,110020101,2,41569230,0
3560863,14084400,110020101,110020101,4,19659546,0
929979,11453516,110020101,110020101,1,3721091,0
3564107,14087644,110020103,110020101,4,2224333,1724289
6194991,16718528,110020103,110020101,2,2039839,1004847
3562485,14086022,110020102,110020101,4,526344,408019
933223,11456760,110020103,110020101,1,507044,393057
6193369,16716906,110020102,110020101,2,421149,207463
6207967,16731504,110040102,110020101,2,243964,120179
3577083,14100620,110040102,110020101,4,180657,140044
3567351,14090888,110020300,110020101,4,176060,136481
6196613,16720150,110020200,110020101,2,140029,68980
6198235,16721772,110020300,110020101,2,138604,68278
3565729,14089266,110020200,110020101,4,104051,80660
931601,11455138,110020102,110020101,1,87568,67882
3559241,14082778,110010300,110020101,4,76229,59092
936467,11460004,110020300,110020101,1,41962,32529
6190125,16713662,110010300,110020101,2,36770,18113
8824253,19347790,110020102,110020101,3,36227,14608
946199,11469736,110040102,110020101,1,35400,27441
8825875,19349412,110020103,110020101,3,27021,10896
8827497,19351034,110020200,110020101,3,19202,7743
934845,11458382,110020200,110020101,1,17836,13826
8821009,19344546,110010300,110020101,3,11337,4571
928357,11451894,110010300,110020101,1,10985,8516
8838851,19362388,110040102,110020101,3,8205,3308
8829119,19352656,110020300,110020101,3,8165,3292
8822631,19346168,110020101,110020101,3,0,0
